model,accuracy,precision,recall,f1,roc_auc,confusion_matrix
logistic_regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606,0.8685828877005348,"[[98 12]
 [21 47]]"
decision_tree,0.8146067415730337,0.7868852459016393,0.7058823529411765,0.7441860465116279,0.8147727272727272,"[[97 13]
 [20 48]]"
random_forest,0.7921348314606742,0.7719298245614035,0.6470588235294118,0.704,0.8333556149732619,"[[97 13]
 [24 44]]"
tuned_random_forest,0.8089887640449438,0.8148148148148148,0.6470588235294118,0.7213114754098361,0.8337566844919786,"[[100  10]
 [ 24  44]]"
